ID,Name,Address,Birth Date,City,Created At,Email,Latitude,Longitude,Password,Source,State,Zip
19,Wyman Kertzmann,1460 Grays Creek Road,1975-07-23,Grants Pass,2018-12-03T07:27:47.569,wyman-kertzmann@gmail.com,42.3222669,-123.324017,89ef82c4-55e2-4907-94a6-09b0368b3c58,Affiliate,OR,97527
20,John Aufderhar,52737 570th Street,1991-10-26,Marne,2018-10-12T23:32:17.853,aufderhar.john@yahoo.com,41.466973,-95.1012128,edd767f7-ef71-42bf-807e-f96fdee4b7b4,Affiliate,IA,51552
21,Angela Botsford,2002-2078 North J Road,1999-07-17,Phillips,2017-06-07T03:02:25.602,angela-botsford@hotmail.com,40.9764889,-98.13254409999999,4d4e6ab3-88a9-462f-9244-80d1865b31b1,Twitter,NE,68865
22,Jeromy Smith,1165 Rimrock Drive,1967-02-16,Napa,2017-09-29T21:34:43.775,jeromy.smith@yahoo.com,38.5063378,-122.1878842,5858bd6f-7731-4e39-a506-f5e29419785a,Twitter,CA,94558
23,Candida Kiehn,2003 Brigham Landing Road,1971-08-06,Girard,2017-04-16T01:10:35.969,kiehn-candida@yahoo.com,33.0854659,-81.67635899999999,8e866dca-3fa2-4c1d-aeaa-cf0a2642ce95,Facebook,GA,30426
24,Nya Weber,20930 Sugar Hills Road,1971-01-13,Cohasset,2019-01-26T06:39:38.701,weber-nya@gmail.com,47.1794946,-93.6321358,07401ce0-ed0d-406d-b370-4aa0945a6196,Facebook,MN,55721
25,Araceli Stiedemann,1201-2099 Plumberosa Drive,1979-02-05,Fayetteville,2016-08-16T02:51:36.698,stiedemann.araceli@yahoo.com,36.0479853,-94.20265719999999,51421352-6fdf-456e-93c9-41875c275480,Twitter,AR,72701
26,Dagmar Fay,19480 Happy Creek Road,1962-07-20,Winnemucca,2016-10-03T08:40:35.686,dagmar.fay@gmail.com,41.4720902,-118.346273,c754f596-48c4-4857-9000-8ea132605d6e,Organic,NV,89445
27,Kyler Abshire,2398-2558 Township Highway 249,1989-09-27,Arcadia,2017-04-05T16:05:38.485,kyler.abshire@yahoo.com,41.1278979,-83.5359594,179376b7-cb5e-4a61-990a-7fa5df7c1e8a,Organic,OH,44804
28,Keon Cartwright,355 Road 2538,1991-10-25,Baldwyn,2017-05-05T07:29:27.053,keon-cartwright@hotmail.com,34.4325826,-88.5702919,b9245148-1f98-4410-89ea-ec4035d97c19,Affiliate,MS,38824
29,Broderick Lockman,5125 Duffy Road Southeast,1990-09-09,Lancaster,2019-01-28T10:06:09.056,broderick-lockman@gmail.com,39.6955024,-82.5027112,38b3c74d-9d98-4547-94b9-9bcac3d5a762,Facebook,OH,43130
30,Desiree Walsh,13-99 Deberry Levee Road,1988-02-23,DeWitt,2016-12-09T04:07:48.891,walsh-desiree@gmail.com,34.3125434,-91.20821,20634749-9fa0-4ffe-8f9c-c7cb1c3d5e82,Affiliate,AR,72042
31,Cleora Hilll,2303 Christianson Hill Road,1995-02-02,Houston,2019-04-05T20:13:51.205,cleora.hilll@hotmail.com,43.80686660000001,-91.6359614,866c311b-f3b4-4752-a199-0ec05072a730,Affiliate,MN,55943
32,Jayden Hamill,6101 County Road CC67,1967-05-23,Pueblo,2018-02-25T03:42:16.554,jayden.hamill@gmail.com,37.94777029999999,-104.8778192,473f01a2-ea14-4782-ab69-0f7ab4e561a4,Google,CO,81004
33,Alphonso Quigley,33430 Danver Trail,1997-04-20,Steamboat Springs,2018-08-16T19:08:43.814,alphonso-quigley@yahoo.com,40.3372992,-106.7981696,c07018ad-28b4-48da-a707-f513a5969d92,Affiliate,CO,80487
34,Emilie Goyette,3349 Holly Springs Road,1966-05-25,Amissville,2019-01-13T05:02:49.513,goyette-emilie@yahoo.com,38.656887,-77.975854,2ef33e82-9576-41c2-986e-777703a014f8,Organic,VA,20106
35,Chelsey Schuppe,N1962 County Road K,1984-03-19,Sharon,2018-12-07T20:44:08.982,schuppe-chelsey@hotmail.com,42.5616569,-88.677537,6aa1e263-6496-4e45-802e-eadeb123f420,Twitter,WI,53585
36,Kaley Ziemann,244-298 Northwest 180 Road,1967-10-31,Hoisington,2017-10-13T05:18:15.329,ziemann-kaley@yahoo.com,38.6232452,-98.8225441,51d4f8b2-71d3-4378-a7a0-46f22472cc26,Organic,KS,67544
37,Jaleel Collins,3210-3298 West Overton Road,1978-10-10,Tucson,2017-02-05T06:39:15.958,jaleel.collins@gmail.com,32.3735889,-111.03742,608dbb0f-a21e-43bb-9688-5a1f5d3bf8cd,Facebook,AZ,85742
38,Cecilia Stark,155 Cow Creek Road,1981-12-16,Hurricane,2016-11-22T01:11:34.237,cecilia.stark@hotmail.com,38.4920821,-82.0002696,b3f69b9a-5221-4708-87ca-6aad41dceb43,Facebook,WV,25526
39,Andreanne Hills,618 150th Avenue,1988-04-26,Edgerton,2018-04-02T13:07:05.644,andreanne-hills@yahoo.com,43.9393467,-96.1592993,8893e779-0875-4325-a795-0ca65555530d,Organic,MN,56128
40,Elyssa Wolf,171 Olive Oyle Lane,1978-09-04,Dale,2017-03-06T00:54:32.105,wolf.elyssa@hotmail.com,29.99592,-97.5590129,48eb05e6-8c28-46d0-a072-e4ad3191182d,Google,TX,78616
41,Bernadine Gorczany,31619 Silverado Lane,1984-03-24,Waukee,2018-05-24T16:27:39.25,bernadine.gorczany@hotmail.com,41.539616,-93.874784,059d446f-2382-4891-9099-79bc4c61023f,Google,IA,50263
42,Reyes Strosin,30379-30383 Herbrecht Road,1992-05-23,Watertown,2017-04-12T08:31:53.943,reyes-strosin@yahoo.com,44.10684560000001,-75.9958097,b5cf239e-3f04-4301-8356-e43da503553a,Google,NY,13601
43,Chaya Volkman,18001-18999 North Morrion,1962-09-14,Dike,2017-06-04T06:12:21.524,volkman.chaya@hotmail.com,42.43880739999999,-92.6713936,3f43356b-8191-4fd4-86a9-435020c483b5,Twitter,IA,50624
44,Carroll Kohler,4251-4389 485th Avenue,1999-03-19,Mallard,2017-01-04T22:28:00.846,carroll.kohler@hotmail.com,43.0246186,-94.6294178,a0b2035f-6e00-4119-943a-c60b79f7534e,Facebook,IA,50562
45,Gilbert Abbott,28001-28599 180th Street,1963-03-23,Columbus Junction,2016-09-26T21:46:48.626,abbott-gilbert@yahoo.com,41.3221172,-91.47486099999999,5633576b-48aa-49fa-af06-6ac1614b4a05,Organic,IA,52738
46,Kaleb Swaniawski,15000-15312 Crooked Road Northeast,1996-02-13,Kalkaska,2019-01-25T15:35:57.868,swaniawski-kaleb@gmail.com,44.8540315,-84.87710150000001,db1bc340-a201-476f-ad9a-44356b84a9c6,Twitter,MI,49646
47,Bradley Green,111 Leupp Road,1980-06-16,Flagstaff,2018-01-24T01:29:29.57,bradley.green@yahoo.com,35.337122,-111.3635,28ddc3ee-1fb6-4d0a-8437-20be81626311,Organic,AZ,86004
48,Logan Weber,1260 29th Road,1988-06-22,Morrowville,2017-11-24T10:23:11.878,logan-weber@yahoo.com,39.9879628,-97.1458337,04858e53-e1dd-4d0d-b241-2484abe833fc,Organic,KS,66958
49,Zane Koelpin,6043 County Road 30,1967-07-11,Reeds,2018-09-17T22:24:49.195,zane.koelpin@gmail.com,37.1382857,-94.11219600000001,6d25201f-e1ae-4bd3-99e1-f8e75e69e664,Twitter,MO,64859
50,Stacy Wisozk,12751-12799 57th Street Northeast,1967-05-14,Fordville,2018-01-24T04:24:23.117,wisozk.stacy@gmail.com,48.2384345,-97.86937549999999,f36e9fca-558b-41fe-bc9d-7b1b135ef1c6,Twitter,ND,58231
51,Alvah Wilderman,21421 U.S. 82,1965-06-12,Carrollton,2018-02-19T22:11:18.349,wilderman.alvah@hotmail.com,33.493444,-89.8906564,e1c1ff81-c916-4fe8-9577-fe774f96efb2,Twitter,MS,38917
52,Velma Little,1110 Puckett Road,1982-10-24,Auburn,2018-05-30T01:41:33.498,velma-little@yahoo.com,34.057083,-83.81534099999999,31c95579-f89a-4c37-b223-2f1d43345eb0,Google,GA,30011
53,Nikolas Romaguera,1380 Juba Road,1974-04-22,Pontotoc,2018-09-08T15:36:34.933,nikolas.romaguera@yahoo.com,34.272145,-89.185783,5f0d66d8-10c1-4752-b91d-9797393fe529,Facebook,MS,38863
54,Davin Stamm,87245 590 Avenue,1971-10-08,Waterbury,2017-02-20T12:34:10.172,stamm.davin@yahoo.com,42.324103,-96.74542609999999,7b4ab172-e59a-44e8-942d-fc6b0935e7eb,Affiliate,NE,68785
55,Holly Bayer,373 Lee Loop Road,1987-01-16,Union Springs,2017-10-13T10:43:37.775,holly-bayer@gmail.com,32.1412409,-85.6383022,fd98d21a-e468-46f8-9306-8bd3c68a11bb,Affiliate,AL,36089
56,Seth Willms,22842 County Road 15,1969-05-12,Haxtun,2017-07-03T10:09:11.172,willms.seth@gmail.com,40.5974724,-102.5311932,63ac48ea-98ca-4904-a786-2d6c51f2876f,Google,CO,80731
57,Jordy Haag,35378 South Road,1979-11-13,Kendrick,2018-01-15T16:03:53.401,haag-jordy@yahoo.com,46.578927,-116.537937,a2e708b6-6c18-4ad1-a295-dfac2622bc05,Twitter,ID,83537
58,Dawson Kovacek,174 Kentucky 1554,1983-09-10,Owensboro,2016-06-02T12:04:04.932,kovacek-dawson@hotmail.com,37.8205743,-87.2486685,20aaf730-4fae-4ee8-ba9e-c346dd5de4a8,Facebook,KY,42301
59,Hugh Hahn,3405 Brittain Road,1966-07-26,Fort Garland,2017-01-14T18:35:24.646,hahn.hugh@hotmail.com,37.4230302,-105.3720874,00280947-bea4-4fec-883b-2d7be7e5baa6,Organic,CO,81133
60,Edgardo Hackett,1826 Paddle Creek Road,1996-10-31,Fort Gay,2016-11-23T22:26:35.223,edgardo-hackett@hotmail.com,38.111944,-82.5399396,00878241-0268-4419-8f3f-2c9df0079ed4,Twitter,WV,25514
61,Lina Labadie,7100 Hudson Chapel Road,1984-03-28,Catawba,2016-06-05T04:03:53.196,labadie.lina@gmail.com,35.69917,-81.017265,2da78e08-2bf7-41b8-a737-1acd815fb99c,Google,NC,28609
62,Angelica Zulauf,12055 Gandy Boulevard North,1985-10-17,Saint Petersburg,2016-12-13T01:31:33.122,zulauf.angelica@hotmail.com,27.872096,-82.61317000000001,425a725e-dcff-4815-9f35-71af7fc81a85,Affiliate,FL,33702
63,Delilah Stoltenberg,1725 300th Street,1997-01-18,Spencer,2018-11-04T22:17:41.314,delilah-stoltenberg@yahoo.com,43.21093399999999,-95.24696499999999,e8fc2150-456d-414c-9c58-dde640d39325,Organic,IA,51301
64,Terrence Grimes,207 Grenadier Drive,1968-11-19,DeRuyter,2019-02-15T17:14:42.121,grimes-terrence@gmail.com,42.723496,-75.856499,384c582a-c1b0-4a80-817d-848f6f48cc7e,Affiliate,NY,13052
65,Arne O'Hara,18630 Old Marcus Road,1979-09-09,Howes,2016-12-09T03:04:22.934,arne-o-hara@gmail.com,44.7004251,-102.1931175,6d446a9c-d3e7-488a-9276-0d8710a9642b,Facebook,SD,57748
66,Gladys Dare,6568 Pine Grove Road,1994-01-05,Glenfield,2016-09-01T00:07:14.935,gladys-dare@gmail.com,43.763995,-75.38189799999999,386893ea-73bc-4354-b00d-bdf90cf09384,Twitter,NY,13343
67,Keyon Stroman,19 Riverfront Drive C Street,1987-12-10,Chignik Lake,2018-06-10T04:00:13.756,stroman-keyon@yahoo.com,56.26086710000001,-158.7019256,abe5fdbc-f0c5-4b1e-93fc-31eddf430246,Affiliate,AK,99548
68,Colton Hauck,449-499 County Road 400 West,1963-11-21,Rockport,2016-05-11T01:47:39.768,colton-hauck@yahoo.com,37.89017339999999,-87.1323259,5303b9a1-7784-4b45-8ee7-019e44298d2d,Affiliate,IN,47635
69,Anibal Hansen,2508-2520 Hancock Avenue,1969-10-06,Moville,2017-09-02T01:06:17.749,hansen.anibal@yahoo.com,42.3420983,-96.0377865,d498d3dc-de10-4b26-a286-1ff4f01c2210,Facebook,IA,51039
70,Maya Berge,84975 Nebraska 7,1993-12-21,Ainsworth,2016-07-03T07:13:18.736,maya-berge@hotmail.com,42.1362931,-99.8663091,1446f729-049c-49b2-8827-a235b24f82c0,Twitter,NE,69210
71,Lillian Green,3801-4099 North Fork Highway,1968-05-11,Cody,2016-06-12T09:38:56.272,lillian-green@yahoo.com,44.500381,-109.2863821,d1f42495-9414-4320-afd1-a6a79d2fcacd,Affiliate,WY,82414
72,Eula O'Connell,28367 Florida 69,1961-12-24,Grand Ridge,2017-06-21T19:44:11.459,eula-connell-o@hotmail.com,30.604401,-85.02780299999999,62d6360c-787a-488e-846e-f9cf285f0ac8,Facebook,FL,32442
73,Stan Hessel,28-50 Hawks Road,1968-08-06,Shelburne Falls,2018-08-04T01:00:21.537,stan-hessel@hotmail.com,42.5549457,-72.6583358,196f7102-5eef-42ce-bd0c-f5de4ec84bad,Organic,MA,01370
74,Jarret Marvin,350 East North Street,1968-12-18,Rushville,2019-02-25T14:34:03.624,marvin-jarret@gmail.com,39.6293759,-85.3744045,90eeb0ae-fc40-4363-8fb0-c70492b70fab,Twitter,IN,46173
75,Isobel Fadel,30682 291st Street,1994-11-21,Winner,2018-06-26T16:37:10.62,fadel.isobel@gmail.com,43.1848428,-100.033216,9fe6681e-47ad-44ba-a006-b9f1e9d691b1,Affiliate,SD,57580
76,Amiya Considine,600 Hight Moore Road,1970-05-01,Noxapater,2017-08-11T06:15:00.193,considine-amiya@yahoo.com,32.9558013,-89.0665798,fd121428-25c3-46e6-9cc3-2b400f2d9365,Google,MS,39346
77,Felipe Wilkinson,1436 Tom Cat Trail,1988-03-08,London,2018-02-11T11:19:04.661,felipe-wilkinson@hotmail.com,37.1228826,-83.99708249999999,dd1d35d1-8110-4981-9c2f-fc345ad7cb57,Organic,KY,40741
78,Keenan Schaefer,4333 Madison Road,1993-09-17,Three Forks,2016-05-13T19:16:26.609,schaefer.keenan@gmail.com,45.838178,-111.495663,b3300eb8-da2d-46c4-9d0a-0ee51053746b,Affiliate,MT,59752
79,Palma Volkman,4797 Central Florida Parkway,1990-03-15,Orlando,2019-02-25T02:59:37.635,volkman.palma@gmail.com,28.412059,-81.43779599999999,36d740f1-bda3-4337-838d-1b26fd947815,Google,FL,32821
80,Wilhelm Willms,101-1299 Mosley Street,1992-01-06,Commerce,2018-02-17T00:14:58.886,willms.wilhelm@gmail.com,33.2513235,-95.88581839999999,61a12c12-b0a3-4cf1-8f14-ed83d3f8cbb3,Twitter,TX,75428
81,Curt Baumbach,6913 168th Street Northeast,1962-09-10,Arlington,2017-12-29T20:40:13.534,baumbach-curt@hotmail.com,48.14901099999999,-122.137382,8da294bb-9403-4a8e-be7f-d56414bf3c16,Facebook,WA,98223
82,Macy Olson,15079-15327 Readings Road,1971-09-20,Siloam Springs,2016-08-09T02:12:21.86,macy.olson@gmail.com,36.2020785,-94.4309788,f8fb1605-5bb2-4386-8f92-6da57da52e90,Organic,AR,72761
83,Theresa Kertzmann,4 Hc 69,1989-08-30,Chinook,2016-07-17T19:55:33.107,kertzmann.theresa@hotmail.com,48.6052737,-109.2199464,12bf8161-daa0-4cba-afc3-fe7b104fa060,Facebook,MT,59523
84,Dorris Frami,2787 North 300 East,1963-03-08,Peru,2017-11-23T13:05:31.918,frami.dorris@hotmail.com,40.8042019,-86.01402499999999,0c33e8e5-b610-4959-9097-618f6bd70a86,Google,IN,46970
85,Vernice Steuber,21-89 Lyons Hill Road,1971-06-03,Gill,2018-05-24T23:42:11.49,steuber-vernice@yahoo.com,42.6392077,-72.50279499999999,9c3cf0b1-f405-427f-89af-4209f4f121e4,Google,MA,01354
86,Oda Brakus,17300 View Drive,1981-06-22,Cottonwood,2017-08-11T01:11:33.681,oda-brakus@hotmail.com,40.29595,-122.440831,c0a9ba4f-c877-4caf-81d8-3b7713b2406d,Twitter,CA,96022
87,Heber Vandervort,9665 Pat Drive,1983-09-24,Klamath Falls,2018-04-28T02:15:31.735,heber.vandervort@hotmail.com,42.167971,-121.867448,e959b1c4-c4a6-4cee-b1db-4fc3928b6977,Google,OR,97601
88,Breanne Schiller,2 Site 7,1999-03-01,Hoopa,2017-11-29T15:32:30.829,breanne-schiller@gmail.com,41.350309,-123.84852,836461db-b4ed-496d-a688-019478331cf0,Google,CA,95546
89,Durward Ledner,17779 Walnut Road,1989-07-31,Brownsville,2017-02-10T20:18:20.336,ledner.durward@hotmail.com,43.5903545,-91.33149290000001,98946a17-196b-4529-809c-0774ed46f150,Affiliate,MN,55919
90,Scarlett Beahan,2190 East Grand Avenue,1991-09-02,Hot Springs,2017-08-23T17:19:09.974,scarlett.beahan@yahoo.com,34.505161,-93.006959,b15ed850-8163-4335-a85e-6d8846ec7750,Twitter,AR,71901
91,Myrtis Labadie,292-386 County Road 206,1973-01-19,Pecos,2018-07-02T15:32:49.235,myrtis.labadie@yahoo.com,31.36935089999999,-103.5827313,09321f33-f0ba-4f30-adfe-51506b665c09,Google,TX,79772
92,Tatyana Steuber,29883 412th Avenue,1992-10-05,Avon,2018-08-01T23:51:53.521,tatyana-steuber@hotmail.com,43.0570164,-97.9539025,d8d1e11c-26bd-4928-8b2d-6ebd2877fcf5,Twitter,SD,57315
93,Broderick Wintheiser,25890 Holstein Avenue,1961-01-25,Wasilla,2016-12-07T01:29:05.878,wintheiser-broderick@yahoo.com,61.37213,-150.098354,a6f5a36e-2f57-44cb-bdb3-7e2625eace19,Affiliate,AK,99654
94,Armando Herzog,11105 North Old Highway 97,1972-06-19,Madras,2019-03-24T23:00:11.114,armando-herzog@hotmail.com,44.7873093,-120.934635,43645a1c-3e28-45f0-9888-d4fcf3354901,Affiliate,OR,97741
95,Aurelie Spinka,25611 South Carman Road,1960-06-05,Cheney,2018-09-16T01:38:03.356,aurelie-spinka@gmail.com,47.4154041,-117.7767551,3c9956eb-e0ed-485b-95ca-4b046ca35856,Organic,WA,99004
96,Ayden Heller,839 Bradley 60 Road,1963-05-08,Hermitage,2018-04-17T11:46:46.3,ayden-heller@yahoo.com,33.2537345,-92.1484057,32fe731f-9137-46f5-970e-e8e43c513943,Organic,AR,71647
97,Quentin Leannon,11821 West Lincoln Avenue,1999-05-18,Fresno,2017-01-08T08:29:08.023,quentin.leannon@hotmail.com,36.64563400000001,-120.00331,424781b2-3944-4cb7-92b2-0511ab513157,Facebook,CA,93706
98,Lucas Beer,2329 Jackson Fork Road,1978-02-22,South Webster,2016-10-01T08:45:16.488,lucas-beer@gmail.com,38.8234,-82.6755,b02caa74-76bc-4e4e-9d8e-f56b404c6dd9,Google,OH,45682
99,Alicia Cormier,2160 Settler Road,1959-01-31,Craigmont,2017-09-14T14:33:34.897,cormier.alicia@yahoo.com,46.331827,-116.2924427,35a62981-457f-4f79-9803-019da8d8a82a,Organic,ID,83523
100,Nels Heaney,6088 Meiss Road,1995-05-12,Glenfield,2017-07-22T22:34:34.054,heaney.nels@yahoo.com,43.7130017,-75.43909099999999,8ec74bdb-98d2-4e4c-ab82-dce89bb16876,Organic,NY,13343
101,Beryl Reichel,3118 South 1938 Road,1964-01-09,Rich Hill,2017-02-06T14:48:26.038,reichel.beryl@yahoo.com,38.0319159,-94.2752332,3353794d-8f0b-4d9f-b148-990897a39954,Twitter,MO,64779
102,Kade Kub,550 Rock Creek Road,1982-09-02,Clinton,2018-08-18T10:33:33.219,kade-kub@hotmail.com,46.6588404,-113.6540732,cbca34d6-acf8-47d6-9052-3fbf16557954,Facebook,MT,59825
103,Jayce Hilpert,16780 14th Street Northeast,1978-06-06,Buxton,2017-05-08T23:00:11.699,hilpert-jayce@yahoo.com,47.6128237,-96.9681621,a220e645-0b5c-49fa-acfa-cde85ef48141,Facebook,ND,58218
104,Briana Kuphal,6183 Old Dixie Highway,1991-06-11,Evensville,2018-10-13T04:04:46.165,kuphal-briana@yahoo.com,35.598895,-84.83532799999999,0e663ad6-aafe-49ce-80b0-7603e5cdf4b6,Twitter,TN,37332
105,Carleton Effertz,3135 Sanhedrin Road,1966-06-09,Elk Creek,2016-11-20T00:33:39.454,carleton.effertz@gmail.com,39.6135899,-122.5711026,19b6d8be-ba3c-4d66-b871-312d06460803,Facebook,CA,95939
106,Rosina O'Connell,1701-1999 West County Road 850 North,1979-06-02,Lizton,2016-08-24T20:29:03.767,rosina.connell.o@hotmail.com,39.8863642,-86.5583394,5f5abb40-bcc8-4b83-a6ad-0527eb5aa397,Google,IN,46149
107,Verla O'Kon,48502-48654 150th Avenue,1986-02-23,Pocahontas,2018-01-06T09:37:51.068,verla.kon.o@gmail.com,42.7814427,-94.8164443,eb128872-4a4c-4157-a26c-d76072121467,Affiliate,IA,50574
108,Archibald Von,5706 Farm to Market 1743,1969-01-03,Windom,2017-06-21T12:13:50.422,von-archibald@yahoo.com,33.509668,-96.032372,8c2daa24-2d3a-445f-a22d-82e8e0cea91a,Facebook,TX,75492
109,Anais Dare,271 West Comet Road,1962-08-26,Clinton,2018-11-21T14:08:42.986,dare.anais@yahoo.com,40.919299,-81.545908,044c199b-a129-4c98-aeae-30e03f7da5a1,Google,OH,44216
110,Alexanne Wisoky,5361 East 700 South,1967-10-29,Brook,2016-08-17T17:37:43.247,wisoky-alexanne@yahoo.com,40.891452,-87.290014,d8bdb2e5-30d2-41bc-afa6-a75d585d8ae6,Google,IN,47922
111,Augustine Runolfsdottir,521-599 Louisiana 27,1997-06-10,Bell City,2016-08-17T22:37:21.854,runolfsdottir.augustine@gmail.com,30.0178145,-93.0878386,b16278c2-c9b5-4fb9-b212-d4d08992fab3,Google,LA,70630
112,Theresa Grant,370 North Street,1988-11-29,Maxwell,2018-10-28T23:54:56.658,theresa.grant@yahoo.com,39.2802275,-122.1971163,f31fbf5c-28fe-4284-ad4b-ebd3c4d42e4a,Google,CA,95955
113,Kathleen Quitzon,1711 Welliver Road,1965-02-20,Redstone,2017-04-18T01:30:18.921,kathleen-quitzon@yahoo.com,48.65539769999999,-104.9287866,a4fb4bfc-e010-4b54-9afb-1ec314afb34b,Google,MT,59257
114,Wilbert Greenfelder,1 A Point Pleasant Road,1966-11-29,Hopatcong,2017-12-05T06:44:47.206,greenfelder.wilbert@gmail.com,40.922515,-74.654822,206b8844-81ce-4346-8086-05bf0be8da64,Facebook,NJ,07843
115,Edwin Spencer,28161 FM 521 Road,1994-06-28,Angleton,2017-04-04T03:19:32.567,spencer.edwin@gmail.com,29.18861,-95.4850699,83cb3413-2234-420a-8441-9ec94b6e1092,Facebook,TX,77515
116,Jimmie Doyle,2020-2026 Rosebud Creek Road,1977-09-25,Forsyth,2018-11-13T06:15:45.065,doyle-jimmie@hotmail.com,46.13674779999999,-106.4627731,94713a13-e32d-4d12-bcbe-5bd42e0892da,Facebook,MT,59327
117,Hollis Hettinger,10237 Pennsylvania 285,1994-01-29,Conneaut Lake,2016-12-25T03:17:16.765,hollis-hettinger@gmail.com,41.6020003,-80.32627610000002,24758719-01af-4cab-b72b-31dbbda474ca,Organic,PA,16316
118,Diego Will,870 Marions Ferry Road,1976-05-29,Huntington,2017-01-25T06:51:18.563,diego.will@yahoo.com,31.3799326,-94.5245865,249ad114-7a7d-4637-a6ba-2a594bcc92ed,Affiliate,TX,75949
119,Makayla Heathcote,2945-2965 Gillsville Highway,1969-05-22,Gainesville,2017-01-24T00:23:29.5,heathcote.makayla@gmail.com,34.2667033,-83.7451529,98b4ee91-d74b-4fa4-af6f-af1b4ea5e61f,Facebook,GA,30507
120,Ashton Schmidt,538 Clark Street,1994-09-14,Gardner,2018-07-18T17:59:16.965,schmidt-ashton@yahoo.com,42.593775,-72.021141,dd3c2e18-bcab-4ac3-bd61-474874d9161d,Affiliate,MA,01440
